schema_version,run_id,interval_start_utc,distributor_id,tariff_profile_id,zone_type,zone_id,base_te_rs_kwh,base_tusd_rs_kwh,base_total_rs_kwh,demand_pressure,supply_pressure,economic_signal,raw_multiplier,final_multiplier,dynamic_tariff_rs_kwh,floor_applied,cap_applied,ramp_applied,neutrality_adjustment,fallback_applied,reason_codes,quality_flags
tariff_v1,fixture-20260919T000000Z,2026-09-19T00:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.675,0.6432,0.0,1.064912,1.064912,0.798684,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T01:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.5906,0.6232,0.0,1.041456,1.041456,0.781092,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T02:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.5,0.5914,0.0,1.014624,1.014624,0.760968,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T03:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.4094,0.55,0.0,0.986256,0.986256,0.739692,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T04:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.325,0.5018,0.0,0.958288,0.958288,0.718716,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T05:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.2525,0.45,0.0,0.9326,0.9326,0.69945,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T06:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.1969,0.3982,0.0,0.910968,0.910968,0.683226,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T07:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.1619,0.35,0.0,0.894856,0.894856,0.671142,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T08:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.15,0.3086,0.0,0.885376,0.885376,0.664032,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T09:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.1619,0.2768,0.0,0.883144,0.883144,0.662358,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T10:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.1969,0.2568,0.0,0.888344,0.888344,0.666258,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T11:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.2525,0.25,0.0,0.9006,0.9006,0.67545,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T12:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.325,0.2568,0.0,0.919088,0.919088,0.689316,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T13:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.4094,0.2768,0.0,0.942544,0.942544,0.706908,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T14:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.5,0.3086,0.0,0.969376,0.969376,0.727032,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T15:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.5906,0.35,0.0,0.997744,0.997744,0.748308,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T16:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.675,0.3982,0.0,1.025712,1.025712,0.769284,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T17:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.7475,0.45,0.0,1.0514,1.0514,0.78855,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T18:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.8031,0.5018,0.0,1.073032,1.073032,0.804774,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T19:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.8381,0.55,0.0,1.089144,1.089144,0.816858,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T20:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.85,0.5914,0.0,1.098624,1.098624,0.823968,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T21:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.8381,0.6232,0.0,1.100856,1.100856,0.825642,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T22:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.8031,0.6432,0.0,1.095656,1.095656,0.821742,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
tariff_v1,fixture-20260919T000000Z,2026-09-19T23:00:00+00:00,DIST_EXAMPLE_SECO,B1_CONVENTIONAL_FIXTURE,SUBSYSTEM,SE/CO,0.31,0.44,0.75,0.7475,0.65,0.0,1.0834,1.0834,0.81255,False,False,False,0.0,False,"[""SYNTHETIC_FIXTURE""]",[]
